index,reclat,reclong
996,0.000000,0.000000
997,0.000000,0.000000
998,-12.089831,-77.039114
999,-12.075923,-77.038206
1000,-12.077654,-77.028905
1001,-12.082002,-77.031612
1002,-12.077548,-77.034359
1003,0.000000,0.000000
1004,-12.089543,-77.042005
1005,0.000000,0.000000
1006,-12.089088,-77.037495
1007,0.000000,0.000000
1008,0.000000,0.000000
1009,0.000000,0.000000
1010,-12.080490,-77.028613
1011,-12.082641,-77.037363
1012,-12.080490,-77.028613
1013,-12.089246,-77.029517
1014,-12.088094,-77.047883
1015,-14.272816,-71.226498
1016,0.000000,0.000000
1017,0.000000,0.000000
1018,0.000000,0.000000
1019,0.000000,0.000000
1020,-12.099133,-76.972709
1021,-12.101556,-76.970487
1022,-12.125105,-76.982160
1023,-12.146699,-77.005823
1024,0.000000,0.000000
1025,0.000000,0.000000
